Source,Target,Type
0.0.0.66,1.9.0.0,Directed
0.0.0.66,1.9.0.0,Directed
0.0.0.67,1.51.0.0,Directed
0.0.0.67,1.51.0.0,Directed
0.0.0.68,1.21.0.0,Directed
0.0.0.68,1.21.0.0,Directed
0.0.0.69,1.41.0.0,Directed
0.0.0.69,1.41.0.0,Directed
0.0.0.7,1.13.0.0,Directed
0.0.0.7,1.13.0.0,Directed
0.0.0.70,1.1.0.0,Directed
0.0.0.70,1.1.0.0,Directed
0.0.0.71,1.11.0.0,Directed
0.0.0.71,1.11.0.0,Directed
0.0.0.72,1.43.0.0,Directed
0.0.0.72,1.43.0.0,Directed
0.0.0.73,1.13.0.0,Directed
0.0.0.73,1.13.0.0,Directed
0.0.0.74,1.55.0.0,Directed
0.0.0.74,1.55.0.0,Directed
0.0.0.75,1.27.0.0,Directed
0.0.0.75,1.27.0.0,Directed
0.0.0.76,1.15.0.0,Directed
0.0.0.76,1.15.0.0,Directed
0.0.0.77,1.47.0.0,Directed
0.0.0.77,1.47.0.0,Directed
0.0.0.78,1.57.0.0,Directed
0.0.0.78,1.57.0.0,Directed
0.0.0.79,1.39.0.0,Directed
0.0.0.79,1.39.0.0,Directed
0.0.0.8,1.15.0.0,Directed
0.0.0.8,1.15.0.0,Directed
0.0.0.80,1.29.0.0,Directed
0.0.0.80,1.29.0.0,Directed
0.0.0.81,1.37.0.0,Directed
0.0.0.81,1.37.0.0,Directed
0.0.0.82,1.49.0.0,Directed
0.0.0.82,1.49.0.0,Directed
0.0.0.83,1.19.0.0,Directed
0.0.0.83,1.19.0.0,Directed
0.0.0.84,1.59.0.0,Directed
0.0.0.84,1.59.0.0,Directed
0.0.0.85,1.33.0.0,Directed
0.0.0.85,1.33.0.0,Directed
0.0.0.86,1.9.0.0,Directed
0.0.0.86,1.9.0.0,Directed
0.0.0.87,1.51.0.0,Directed
0.0.0.87,1.51.0.0,Directed
0.0.0.88,1.21.0.0,Directed
0.0.0.88,1.21.0.0,Directed
0.0.0.89,1.1.0.0,Directed
0.0.0.89,1.1.0.0,Directed
0.0.0.9,1.19.0.0,Directed
0.0.0.9,1.19.0.0,Directed
0.0.0.90,1.61.0.0,Directed
0.0.0.90,1.61.0.0,Directed
0.0.0.91,1.11.0.0,Directed
0.0.0.91,1.11.0.0,Directed
0.0.0.92,1.49.0.0,Directed
0.0.0.92,1.8.1.0,Directed
0.0.0.92,1.49.0.0,Directed
0.0.0.92,1.8.1.0,Directed
0.0.0.93,1.43.0.0,Directed
0.0.0.93,1.43.0.0,Directed
0.0.0.94,1.33.0.0,Directed
0.0.0.94,1.33.0.0,Directed
0.0.0.95,1.33.0.0,Directed
0.0.0.95,1.33.0.0,Directed
0.0.0.96,1.35.0.0,Directed
0.0.0.96,1.35.0.0,Directed
0.0.0.97,1.13.0.0,Directed
0.0.0.97,1.13.0.0,Directed
0.0.0.98,1.25.0.0,Directed
0.0.0.98,1.25.0.0,Directed
0.0.0.99,1.5.0.0,Directed
0.0.0.99,1.5.0.0,Directed
0.0.1.0,1.113.0.0,Directed
0.0.1.0,1.113.0.0,Directed
0.0.1.1,1.97.0.0,Directed
0.0.1.1,1.97.0.0,Directed
0.0.1.10,1.47.0.0,Directed
0.0.1.10,1.47.0.0,Directed
0.0.1.100,1.99.0.0,Directed
0.0.1.100,1.99.0.0,Directed
0.0.1.101,1.111.0.0,Directed
0.0.1.101,1.111.0.0,Directed
0.0.1.102,1.71.0.0,Directed
0.0.1.102,1.71.0.0,Directed
0.0.1.103,1.53.0.0,Directed
0.0.1.103,1.53.0.0,Directed
0.0.1.104,1.119.0.0,Directed
0.0.1.104,1.119.0.0,Directed
0.0.1.105,1.81.0.0,Directed
0.0.1.105,1.81.0.0,Directed
0.0.1.106,1.113.0.0,Directed
0.0.1.106,1.113.0.0,Directed
0.0.1.107,1.101.0.0,Directed
0.0.1.107,1.101.0.0,Directed
0.0.1.108,1.63.0.0,Directed
0.0.1.108,1.63.0.0,Directed
0.0.1.109,1.83.0.0,Directed
0.0.1.109,1.83.0.0,Directed
0.0.1.11,1.27.0.0,Directed
0.0.1.11,1.27.0.0,Directed
0.0.1.110,1.73.0.0,Directed
0.0.1.110,1.73.0.0,Directed
0.0.1.111,1.103.0.0,Directed
0.0.1.111,1.103.0.0,Directed
0.0.1.112,1.93.0.0,Directed
0.0.1.112,1.93.0.0,Directed
0.0.1.113,1.75.0.0,Directed
0.0.1.113,1.75.0.0,Directed
0.0.1.114,1.117.0.0,Directed
0.0.1.114,1.117.0.0,Directed
0.0.1.115,1.105.0.0,Directed
0.0.1.115,1.105.0.0,Directed
0.0.1.116,1.95.0.0,Directed
0.0.1.116,1.95.0.0,Directed
0.0.1.117,1.67.0.0,Directed
